instance,ratio,k_mode,split_mode,total_depth,m_bits,m_states,F_fwd,F_bwd,min_frontier,max_frontier,min_over_m,max_over_m,prod_over_m2,converged,cond_min,cond_max,cond_prod
0,0.01,k1,dynamic,57,1564672,34770.48888888889,178,1,1,178,2.8760021269633508e-05,0.005119283785994765,1.4723071057049936e-07,True,True,True,True
0,0.01,k1,fixed,57,1564672,34770.48888888889,24607730,1061863,1061863,24607730,30.539202465436844,707.7188381973986,21613.168888314092,True,False,False,False
0,0.01,optk,dynamic,57,1564672,34770.48888888889,178,1,1,178,2.8760021269633508e-05,0.005119283785994765,1.4723071057049936e-07,True,True,True,True
0,0.01,optk,fixed,57,1564672,34770.48888888889,24607730,1061863,1061863,24607730,30.539202465436844,707.7188381973986,21613.168888314092,True,False,False,False
0,0.1,k1,dynamic,57,15613952,346976.7111111111,178,1,1,178,2.882037808237146e-06,0.000513002729866212,1.4784932632032902e-09,True,True,True,True
0,0.1,k1,fixed,57,15613952,346976.7111111111,24607730,308752,308752,24607730,0.8898349373688352,70.92040823489147,63.10745701986688,True,True,False,False
0,0.1,optk,dynamic,57,15613952,346976.7111111111,178,1,1,178,2.882037808237146e-06,0.000513002729866212,1.4784932632032902e-09,True,True,True,True
0,0.1,optk,fixed,57,15613952,346976.7111111111,24607730,308752,308752,24607730,0.8898349373688352,70.92040823489147,63.10745701986688,True,True,False,False
0,0.5,k1,dynamic,57,78069760,1734883.5555555555,178,1,1,178,5.764075616474292e-07,0.00010260054597324239,5.913973052813161e-11,True,True,True,True
0,0.5,k1,fixed,57,78069760,1734883.5555555555,24607730,72168,72168,24607730,0.04159818090897167,14.184081646978292,0.5900319943786279,True,True,False,True
0,0.5,optk,dynamic,57,78069760,1734883.5555555555,178,1,1,178,5.764075616474292e-07,0.00010260054597324239,5.913973052813161e-11,True,True,True,True
0,0.5,optk,fixed,57,78069760,1734883.5555555555,24607730,3144,3144,24607730,0.0018122253738195174,14.184081646978292,0.02570475266498179,True,True,False,True
1,0.01,k1,dynamic,55,2105344,46785.42222222222,2484110,1081980,1081980,2484110,23.126434444917315,53.09581237080496,1227.9168240930505,True,False,False,False
1,0.01,k1,fixed,55,2105344,46785.42222222222,2319912,1333544,1333544,2319912,28.503408469114785,49.58621488934825,1413.3761374283945,True,False,False,False
1,0.01,optk,dynamic,55,2105344,46785.42222222222,2484110,1081980,1081980,2484110,23.126434444917315,53.09581237080496,1227.9168240930505,True,False,False,False
1,0.01,optk,fixed,55,2105344,46785.42222222222,2319912,1333544,1333544,2319912,28.503408469114785,49.58621488934825,1413.3761374283945,True,False,False,False
1,0.1,k1,dynamic,55,21045248,467672.1777777778,2484110,127254,127254,2484110,0.2721008562122908,5.311648026195748,1.4453039758261872,True,True,False,False
1,0.1,k1,fixed,55,21045248,467672.1777777778,2319912,160221,160221,2319912,0.3425925415561746,4.960551664679836,1.6994480023233778,True,True,False,False
1,0.1,optk,dynamic,55,21045248,467672.1777777778,2484110,141,141,2484110,0.00030149323970903074,5.311648026195748,0.0016014259716118345,True,True,False,True
1,0.1,optk,fixed,55,21045248,467672.1777777778,2319912,138,138,2319912,0.00029507848992798755,4.960551664679836,0.001463752094423491,True,True,False,True
1,0.5,k1,dynamic,55,105209856,2337996.8,2484110,26510,26510,2484110,0.011338766588559916,1.062495038487649,0.012047383242914437,True,True,False,True
1,0.5,k1,fixed,55,105209856,2337996.8,2319912,32423,32423,2319912,0.013867854737867906,0.9922648311580239,0.0137605845399945,True,True,True,True
1,0.5,optk,dynamic,55,105209856,2337996.8,2484110,7,7,2484110,2.994016073931325e-06,1.062495038487649,3.1811272237043025e-06,True,True,False,True
1,0.5,optk,fixed,55,105209856,2337996.8,2319912,9,9,2319912,3.849449237911703e-06,0.9922648311580239,3.81967309810784e-06,True,True,True,True
2,0.01,k1,dynamic,59,8216576,182590.57777777777,47808853,39586276,39586276,47808853,216.8034981968158,261.8363640767152,56767.03968696693,True,False,False,False
2,0.01,k1,fixed,59,8216576,182590.57777777777,57069307,35827345,35827345,57069307,196.21683350826427,312.55340606598173,61328.23964048966,True,False,False,False
2,0.01,optk,dynamic,59,8216576,182590.57777777777,47808853,39586276,39586276,47808853,216.8034981968158,261.8363640767152,56767.03968696693,True,False,False,False
2,0.01,optk,fixed,59,8216576,182590.57777777777,57069307,35827345,35827345,57069307,196.21683350826427,312.55340606598173,61328.23964048966,True,False,False,False
2,0.1,k1,dynamic,59,82173952,1826087.822222222,47808853,6706725,6706725,47808853,3.6727286159974395,26.181026135873324,96.15580388539883,True,False,False,False
2,0.1,k1,fixed,59,82173952,1826087.822222222,57069307,6285739,6285739,57069307,3.4421887729094496,31.252224731749546,107.57605710007132,True,False,False,False
2,0.1,optk,dynamic,59,82173952,1826087.822222222,47808853,2940547,2940547,47808853,1.6102987842181427,26.181026135873324,42.15927455618023,True,False,False,False
2,0.1,optk,fixed,59,82173952,1826087.822222222,57069307,2963516,2963516,57069307,1.6228770401598795,31.252224731749546,50.71851797107309,True,False,False,False
2,0.5,k1,dynamic,59,410886144,9130803.2,47808853,1408705,1408705,47808853,0.15428051280307958,5.235996434574343,0.8078122149612261,True,True,False,True
2,0.5,k1,fixed,59,410886144,9130803.2,57069307,1343129,1343129,57069307,0.14709866926055312,6.250195711150582,0.9193954717282671,True,True,False,True
2,0.5,optk,dynamic,59,410886144,9130803.2,47808853,77,77,47808853,8.432993058047732e-06,5.235996434574343,4.415512158472811e-05,True,True,False,True
2,0.5,optk,fixed,59,410886144,9130803.2,57069307,80,80,57069307,8.7615512291405e-06,6.250195711150582,5.476140991540006e-05,True,True,False,True
3,0.01,k1,dynamic,56,1654784,36772.97777777778,621419,349722,349722,621419,9.510298625077352,16.898794646310336,160.71258349026968,True,False,False,False
3,0.01,k1,fixed,56,1654784,36772.97777777778,6760766,1695335,1695335,6760766,46.10273908860613,183.85146943649443,8476.056326487547,True,False,False,False
3,0.01,optk,dynamic,56,1654784,36772.97777777778,621419,349722,349722,621419,9.510298625077352,16.898794646310336,160.71258349026968,True,False,False,False
3,0.01,optk,fixed,56,1654784,36772.97777777778,6760766,1695335,1695335,6760766,46.10273908860613,183.85146943649443,8476.056326487547,True,False,False,False
3,0.1,k1,dynamic,56,16515072,367001.6,621419,35222,35222,621419,0.09597233363560269,1.69323240007673,0.16250346482277622,True,True,False,True
3,0.1,k1,fixed,56,16515072,367001.6,6760766,282897,282897,6760766,0.7708331516810827,18.42162540980748,14.199999573730215,True,True,False,False
3,0.1,optk,dynamic,56,16515072,367001.6,621419,2694,2694,621419,0.007340567452566965,1.69323240007673,0.01242928664563509,True,True,False,True
3,0.1,optk,fixed,56,16515072,367001.6,6760766,120067,120067,6760766,0.32715661185128353,18.42162540980748,6.026756553866127,True,True,False,False
3,0.5,k1,dynamic,56,82583552,1835190.0444444444,621419,6831,6831,621419,0.0037222303056182425,0.3386128874669862,0.0012603951516025156,True,True,True,True
3,0.5,k1,fixed,56,82583552,1835190.0444444444,6760766,59652,59652,6760766,0.03250453552784942,3.683959609777986,0.11974539601919085,True,True,False,True
3,0.5,optk,dynamic,56,82583552,1835190.0444444444,621419,5,5,621419,2.7245134721257815e-06,0.3386128874669862,9.22555373739215e-07,True,True,True,True
3,0.5,optk,fixed,56,82583552,1835190.0444444444,6760766,11,11,6760766,5.993929638676719e-06,3.683959609777986,2.208139469273619e-05,True,True,False,True
4,0.01,k1,dynamic,56,1654784,36772.97777777778,2146844,833111,833111,2146844,22.655521808284345,58.38102132967203,1322.6525019242981,True,False,False,False
4,0.01,k1,fixed,56,1654784,36772.97777777778,2146844,834184,834184,2146844,22.68470084313119,58.38102132967203,1324.356003780071,True,False,False,False
4,0.01,optk,dynamic,56,1654784,36772.97777777778,2146844,833111,833111,2146844,22.655521808284345,58.38102132967203,1322.6525019242981,True,False,False,False
4,0.01,optk,fixed,56,1654784,36772.97777777778,2146844,834184,834184,2146844,22.68470084313119,58.38102132967203,1324.356003780071,True,False,False,False
4,0.1,k1,dynamic,56,16564224,368093.86666666664,2146844,102338,102338,2146844,0.2780214756815653,5.832327551233309,1.621512312452135,True,True,False,False
4,0.1,k1,fixed,56,16564224,368093.86666666664,2146844,101586,101586,2146844,0.2759785185228116,5.832327551233309,1.6095971171291463,True,True,False,False
4,0.1,optk,dynamic,56,16564224,368093.86666666664,2146844,1021,1021,2146844,0.0027737490147440656,5.832327551233309,0.01617741279889806,True,True,False,True
4,0.1,optk,fixed,56,16564224,368093.86666666664,2146844,1003,1003,2146844,0.002724848444454748,5.832327551233309,0.015892208655528654,True,True,False,True
4,0.5,k1,dynamic,56,82821120,1840469.3333333333,2146844,20406,20406,2146844,0.011087389303597924,1.1664655102466617,0.01293305722132473,True,True,False,True
4,0.5,k1,fixed,56,82821120,1840469.3333333333,2146844,21034,21034,2146844,0.011428606616283383,1.1664655102466617,0.013331075448071371,True,True,False,True
4,0.5,optk,dynamic,56,82821120,1840469.3333333333,2146844,15,15,2146844,8.150095048219585e-06,1.1664655102466617,9.50680477898025e-06,True,True,False,True
4,0.5,optk,fixed,56,82821120,1840469.3333333333,2146844,15,15,2146844,8.150095048219585e-06,1.1664655102466617,9.50680477898025e-06,True,True,False,True
5,0.01,k1,dynamic,52,802816,17840.355555555554,71948,6462,6462,71948,0.3622125119579082,4.032879264987245,1.4607593289939926,True,True,False,False
5,0.01,k1,fixed,52,802816,17840.355555555554,1247395,256201,256201,1247395,14.360756387515945,69.91985087492029,1004.1019450661738,True,False,False,False
5,0.01,optk,dynamic,52,802816,17840.355555555554,71948,6462,6462,71948,0.3622125119579082,4.032879264987245,1.4607593289939926,True,True,False,False
5,0.01,optk,fixed,52,802816,17840.355555555554,1247395,256201,256201,1247395,14.360756387515945,69.91985087492029,1004.1019450661738,True,False,False,False
5,0.1,k1,dynamic,52,8060928,179131.73333333334,71948,791,791,71948,0.004415744688452744,0.401648544683689,0.0017735774278117744,True,True,True,True
5,0.1,k1,fixed,52,8060928,179131.73333333334,1247395,33165,33165,1247395,0.18514307533822408,6.963562383884336,1.289255355061921,True,True,False,False
5,0.1,optk,dynamic,52,8060928,179131.73333333334,71948,2,2,71948,1.1164967606707317e-05,0.401648544683689,4.4843929906745245e-06,True,True,True,True
5,0.1,optk,fixed,52,8060928,179131.73333333334,1247395,962,962,1247395,0.005370349418826219,6.963562383884336,0.037396763201253375,True,True,False,True
5,0.5,k1,dynamic,52,40288256,895294.5777777778,71948,51,51,71948,5.696449109139894e-05,0.08036237656948962,4.577801884176339e-06,True,True,True,True
5,0.5,k1,fixed,52,40288256,895294.5777777778,1247395,6551,6551,1247395,0.00731714472823048,1.3932788502932467,0.010194822994378254,True,True,False,True
5,0.5,optk,dynamic,52,40288256,895294.5777777778,71948,2,2,71948,2.2339016114274094e-06,0.08036237656948962,1.7952164251671917e-07,True,True,True,True
5,0.5,optk,fixed,52,40288256,895294.5777777778,1247395,2,2,1247395,2.2339016114274094e-06,1.3932788502932467,3.112447868837812e-06,True,True,False,True
6,0.01,k1,dynamic,52,4751360,105585.77777777778,4840717,2359175,2359175,4840717,22.343681598531788,45.8462976916083,1024.3750780927987,True,False,False,False
6,0.01,k1,fixed,52,4751360,105585.77777777778,10113808,3179844,3179844,10113808,30.11621514682112,95.78759765625,2884.7598994127634,True,False,False,False
6,0.01,optk,dynamic,52,4751360,105585.77777777778,4840717,2359175,2359175,4840717,22.343681598531788,45.8462976916083,1024.3750780927987,True,False,False,False
6,0.01,optk,fixed,52,4751360,105585.77777777778,10113808,3179844,3179844,10113808,30.11621514682112,95.78759765625,2884.7598994127634,True,False,False,False
6,0.1,k1,dynamic,52,47538176,1056403.911111111,4840717,281893,281893,4840717,0.26684206394456533,4.582259634866933,1.2227396184977628,True,True,False,False
6,0.1,k1,fixed,52,47538176,1056403.911111111,10113808,397244,397244,10113808,0.37603420038665347,9.573807796075306,3.6000791592526866,True,True,False,False
6,0.1,optk,dynamic,52,47538176,1056403.911111111,4840717,1358,1358,4840717,0.001285493158172497,4.582259634866933,0.005890463409591447,True,True,False,True
6,0.1,optk,fixed,52,47538176,1056403.911111111,10113808,6185,6185,10113808,0.005854768176212735,9.573807796075306,0.05605242520963908,True,True,False,True
6,0.5,k1,dynamic,52,237690880,5282019.555555556,4840717,54685,54685,4840717,0.010353047622188954,0.9164519269733865,0.009488070443402304,True,True,True,True
6,0.5,k1,fixed,52,237690880,5282019.555555556,10113808,83416,83416,10113808,0.015792444371445804,1.914761559215061,0.03023876540848668,True,True,False,True
6,0.5,optk,dynamic,52,237690880,5282019.555555556,4840717,2,2,4840717,3.7864305100809923e-07,0.9164519269733865,3.4700815373145483e-07,True,True,True,True
6,0.5,optk,fixed,52,237690880,5282019.555555556,10113808,2,2,10113808,3.7864305100809923e-07,1.914761559215061,7.25011158734216e-07,True,True,False,True
7,0.01,k1,dynamic,50,819200,18204.444444444445,16658,615,615,16658,0.033782958984375,0.9150512695312499,0.03091313950717449,True,True,True,True
7,0.01,k1,fixed,50,819200,18204.444444444445,3260002,669532,669532,3260002,36.778491210937496,179.07725830078124,6586.191370494067,True,False,False,False
7,0.01,optk,dynamic,50,819200,18204.444444444445,16658,615,615,16658,0.033782958984375,0.9150512695312499,0.03091313950717449,True,True,True,True
7,0.01,optk,fixed,50,819200,18204.444444444445,3260002,669532,669532,3260002,36.778491210937496,179.07725830078124,6586.191370494067,True,False,False,False
7,0.1,k1,dynamic,50,8175616,181680.35555555555,16658,68,68,16658,0.0003742837236973948,0.0916885039610471,3.431751468278404e-05,True,True,True,True
7,0.1,k1,fixed,50,8175616,181680.35555555555,3260002,106832,106832,3260002,0.5880217466182365,17.943613056190507,10.551234689942934,True,True,False,False
7,0.1,optk,dynamic,50,8175616,181680.35555555555,16658,2,2,16658,1.100834481462926e-05,0.0916885039610471,1.0093386671407072e-06,True,True,True,True
7,0.1,optk,fixed,50,8175616,181680.35555555555,3260002,40814,40814,3260002,0.22464729263213928,17.943613056190507,4.030984093111904,True,True,False,False
7,0.5,k1,dynamic,50,40869888,908219.7333333333,16658,48,48,16658,5.2850646422128686e-05,0.018341376418746242,9.693536000023266e-07,True,True,True,True
7,0.5,k1,fixed,50,40869888,908219.7333333333,3260002,22269,22269,3260002,0.024519396774466327,3.589441938279841,0.08801095108359289,True,True,False,True
