job_id,domain,instance,phase,algorithm,ratio
0,stp,0,run,bihs_bloom,0.5
1,stp,0,run,idths_trans,0.5
2,stp,0,run,bihs_bloom,0.1
3,stp,0,run,idths_trans,0.1
4,stp,0,run,bihs_bloom,0.01
5,stp,0,run,idths_trans,0.01
6,stp,0,run,bihs_bloom,0.001
7,stp,0,run,idths_trans,0.001
