instance,size_kib,ratio,total_depth,iteration,n_inserted,n_unique,estimated_fp,bits_set,fill_ratio,expected_fill_ratio,materialized_forward,materialized_backward,materialized_total,phase,type_index,type_count,k_mode,k_hashes,split_mode
64,33343,0.5,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,24,dynamic
64,33343,0.5,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,24,dynamic
64,33343,0.5,13,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,24,dynamic
64,33343,0.5,14,0,37,37,3.55205e-141,384,1.40584e-06,3.25101e-06,0,0,0,iter,0,1,optk,24,dynamic
64,33343,0.5,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,24,dynamic
64,33343,0.5,15,0,1572,1572,1.4176e-104,12864,4.70957e-05,0.000138114,0,0,0,iter,0,1,optk,24,dynamic
64,33343,0.5,15,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,24,dynamic
64,33343,0.5,16,0,116831,116831,5.20483e-59,1018384,0.00372835,0.0102129,0,0,0,iter,0,1,optk,24,dynamic
64,33343,0.5,16,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,24,dynamic
64,33343,0.5,17,0,3507776,3507776,2.12491e-24,28186024,0.10319,0.26524,0,0,0,iter,0,1,optk,24,dynamic
64,33343,0.5,17,1,248,248,8.47821e-115,4824,1.76609e-05,2.17903e-05,1,201,202,iter,0,1,optk,24,dynamic
64,6669,0.1,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,5,dynamic
64,6669,0.1,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,5,dynamic
64,6669,0.1,13,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,5,dynamic
64,6669,0.1,14,0,37,37,6.73281e-30,80,1.46433e-06,3.38626e-06,0,0,0,iter,0,1,optk,5,dynamic
64,6669,0.1,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,5,dynamic
64,6669,0.1,15,0,1572,1572,2.84067e-22,2680,4.90551e-05,0.00014386,0,0,0,iter,0,1,optk,5,dynamic
64,6669,0.1,15,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,5,dynamic
64,6669,0.1,16,0,116831,116831,8.81962e-13,212100,0.00388231,0.0106355,0,0,0,iter,0,1,optk,5,dynamic
64,6669,0.1,16,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,5,dynamic
64,6669,0.1,17,0,3507776,3507776,1.41983e-05,5860003,0.107262,0.274602,0,0,0,iter,0,1,optk,5,dynamic
64,6669,0.1,17,1,288,288,2.56052e-24,1045,1.91278e-05,2.63576e-05,1,209,210,iter,0,1,optk,5,dynamic
64,667,0.01,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
64,667,0.01,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
64,667,0.01,13,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
64,667,0.01,14,0,37,37,2.92822e-06,16,2.92822e-06,6.77149e-06,0,0,0,iter,0,1,optk,1,dynamic
64,667,0.01,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
64,667,0.01,15,0,1572,1572,9.80955e-05,536,9.80955e-05,0.000287657,0,0,0,iter,0,1,optk,1,dynamic
64,667,0.01,15,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
64,667,0.01,16,0,116831,116831,0.00774973,42345,0.00774973,0.0211547,0,0,0,iter,0,1,optk,1,dynamic
64,667,0.01,16,1,831,831,6.29568e-05,344,6.29568e-05,0.000152073,0,349,349,iter,0,1,optk,1,dynamic
64,667,0.01,17,0,3507776,3507776,0.202989,1109144,0.202989,0.473746,0,0,0,iter,0,1,optk,1,dynamic
64,667,0.01,17,1,459532,459532,0.0202071,110413,0.0202071,0.0806614,0,0,0,iter,0,1,optk,1,dynamic
64,667,0.01,17,2,72584,72584,0.00461232,25202,0.00461232,0.013196,30930,1,30931,iter,0,1,optk,1,dynamic
64,67,0.001,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
64,67,0.001,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
64,67,0.001,13,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
64,67,0.001,14,0,37,37,2.91511e-05,16,2.91511e-05,6.74097e-05,0,0,0,iter,0,1,optk,1,dynamic
64,67,0.001,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
64,67,0.001,15,0,1572,1572,0.000976562,536,0.000976562,0.00286,0,0,0,iter,0,1,optk,1,dynamic
64,67,0.001,15,1,8,8,7.28778e-06,4,7.28778e-06,1.45755e-05,0,4,4,iter,0,1,optk,1,dynamic
64,67,0.001,16,0,116831,116831,0.0746323,40963,0.0746323,0.19173,0,0,0,iter,0,1,optk,1,dynamic
64,67,0.001,16,1,9326,9326,0.00577192,3168,0.00577192,0.0168479,0,0,0,iter,0,1,optk,1,dynamic
64,67,0.001,16,2,572,572,0.000455486,250,0.000455486,0.00104161,272,0,272,iter,0,1,optk,1,dynamic
64,67,0.001,17,0,3507776,3507776,0.895451,491481,0.895451,0.998323,0,0,0,iter,0,1,optk,1,dynamic
64,67,0.001,17,1,2017765,2017765,0.591564,324688,0.591564,0.974682,0,0,0,iter,0,1,optk,1,dynamic
64,67,0.001,17,0,259671,259671,0.153725,84374,0.153725,0.376936,101534,1,101535,type,0,8,optk,1,dynamic
