instance,size_kib,ratio,total_depth,iteration,n_inserted,n_unique,estimated_fp,bits_set,fill_ratio,expected_fill_ratio,materialized_forward,materialized_backward,materialized_total,phase,type_index,type_count,k_mode,k_hashes,split_mode
67,461,0.5,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,15,dynamic
67,461,0.5,12,0,1,1,9.66064e-82,15,3.97192e-06,3.97191e-06,0,0,0,iter,0,1,optk,15,dynamic
67,461,0.5,12,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,15,dynamic
67,461,0.5,13,0,112,112,1.19617e-52,1305,0.000345557,0.000444756,0,0,0,iter,0,1,optk,15,dynamic
67,461,0.5,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,15,dynamic
67,461,0.5,14,0,2781,2781,1.86151e-31,33761,0.00893973,0.0109851,0,0,0,iter,0,1,optk,15,dynamic
67,461,0.5,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,15,dynamic
67,461,0.5,15,0,35581,35581,3.74715e-15,412418,0.109206,0.131793,0,0,0,iter,0,1,optk,15,dynamic
67,461,0.5,15,1,20,20,1.50289e-64,210,5.56069e-05,7.94352e-05,1,14,15,iter,0,1,optk,15,dynamic
67,92,0.1,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,3,dynamic
67,92,0.1,12,0,1,1,6.30711e-17,3,3.98055e-06,3.98055e-06,0,0,0,iter,0,1,optk,3,dynamic
67,92,0.1,12,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,3,dynamic
67,92,0.1,13,0,112,112,4.15325e-11,261,0.000346308,0.000445723,0,0,0,iter,0,1,optk,3,dynamic
67,92,0.1,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,3,dynamic
67,92,0.1,14,0,2781,2781,7.17462e-07,6747,0.00895227,0.0110089,0,0,0,iter,0,1,optk,3,dynamic
67,92,0.1,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,3,dynamic
67,92,0.1,15,0,35581,35581,0.00131584,82587,0.109581,0.132059,0,0,0,iter,0,1,optk,3,dynamic
67,92,0.1,15,1,23,23,3.09868e-13,51,6.76694e-05,9.15485e-05,1,17,18,iter,0,1,optk,3,dynamic
67,9,0.01,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
67,9,0.01,12,0,1,1,1.35634e-05,1,1.35634e-05,1.35633e-05,0,0,0,iter,0,1,optk,1,dynamic
67,9,0.01,12,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
67,9,0.01,13,0,112,112,0.00118001,87,0.00118001,0.00151794,0,0,0,iter,0,1,optk,1,dynamic
67,9,0.01,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
67,9,0.01,14,0,2781,2781,0.0301242,2221,0.0301242,0.0370172,0,0,0,iter,0,1,optk,1,dynamic
67,9,0.01,14,1,3,3,4.06901e-05,3,4.06901e-05,4.06893e-05,0,3,3,iter,0,1,optk,1,dynamic
67,9,0.01,15,0,35581,35581,0.32723,24126,0.32723,0.382822,0,0,0,iter,0,1,optk,1,dynamic
67,9,0.01,15,1,1192,1192,0.00546604,403,0.00546604,0.0160375,0,0,0,iter,0,1,optk,1,dynamic
67,9,0.01,15,2,207,207,0.00241428,178,0.00241428,0.00280368,249,1,250,iter,0,1,optk,1,dynamic
67,1,0.001,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
67,1,0.001,12,0,1,1,0.00012207,1,0.00012207,0.000122063,0,0,0,iter,0,1,optk,1,dynamic
67,1,0.001,12,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
67,1,0.001,13,0,112,112,0.010498,86,0.010498,0.0135788,0,0,0,iter,0,1,optk,1,dynamic
67,1,0.001,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
67,1,0.001,14,0,2781,2781,0.242065,1983,0.242065,0.287858,0,0,0,iter,0,1,optk,1,dynamic
67,1,0.001,14,1,32,32,0.00280762,23,0.00280762,0.00389863,0,23,23,iter,0,1,optk,1,dynamic
67,1,0.001,15,0,35581,35581,0.969971,7946,0.969971,0.987008,0,0,0,iter,0,1,optk,1,dynamic
67,1,0.001,15,1,3515,3515,0.140747,1153,0.140747,0.34889,0,0,0,iter,0,1,optk,1,dynamic
67,1,0.001,15,0,1252,1252,0.119873,982,0.119873,0.141726,1766,1,1767,type,0,4,optk,1,dynamic
