instance,size_kib,ratio,total_depth,iteration,n_inserted,n_unique,estimated_fp,bits_set,fill_ratio,expected_fill_ratio,materialized_forward,materialized_backward,materialized_total,phase,type_index,type_count,k_mode,k_hashes,split_mode
81,319,0.5,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
81,319,0.5,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
81,319,0.5,13,0,9,9,2.29599e-06,6,2.29599e-06,3.44398e-06,0,0,0,iter,0,1,k1,1,dynamic
81,319,0.5,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
81,319,0.5,14,0,2500,2500,0.000761122,1989,0.000761122,0.000956206,0,0,0,iter,0,1,k1,1,dynamic
81,319,0.5,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
81,319,0.5,15,0,32205,32205,0.0101732,26585,0.0101732,0.0122481,0,0,0,iter,0,1,k1,1,dynamic
81,319,0.5,15,1,9,9,1.53066e-06,4,1.53066e-06,3.44398e-06,1,4,5,iter,0,1,k1,1,dynamic
81,319,0.5,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,11,dynamic
81,319,0.5,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,11,dynamic
81,319,0.5,13,0,9,9,2.66684e-51,66,2.52559e-05,3.78832e-05,0,0,0,iter,0,1,optk,11,dynamic
81,319,0.5,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,11,dynamic
81,319,0.5,14,0,2500,2500,1.37466e-23,21819,0.00834938,0.0104681,0,0,0,iter,0,1,optk,11,dynamic
81,319,0.5,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,11,dynamic
81,319,0.5,15,0,32205,32205,1.98616e-11,278146,0.106437,0.126774,0,0,0,iter,0,1,optk,11,dynamic
81,319,0.5,15,1,9,9,3.08314e-53,44,1.68373e-05,3.78832e-05,1,4,5,iter,0,1,optk,11,dynamic
81,319,0.5,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,3,dynamic
81,319,0.5,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,3,dynamic
81,319,0.5,13,0,9,9,3.26795e-16,18,6.88798e-06,1.03319e-05,0,0,0,iter,0,1,rootk,3,dynamic
81,319,0.5,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,3,dynamic
81,319,0.5,14,0,2500,2500,1.1887e-08,5964,0.00228222,0.00286588,0,0,0,iter,0,1,rootk,3,dynamic
81,319,0.5,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,3,dynamic
81,319,0.5,15,0,32205,32205,2.76064e-05,78980,0.0302229,0.0362961,0,0,0,iter,0,1,rootk,3,dynamic
81,319,0.5,15,1,9,9,9.68282e-17,12,4.59199e-06,1.03319e-05,1,4,5,iter,0,1,rootk,3,dynamic
81,64,0.1,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
81,64,0.1,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
81,64,0.1,13,0,9,9,1.14441e-05,6,1.14441e-05,1.7166e-05,0,0,0,iter,0,1,k1,1,dynamic
81,64,0.1,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
81,64,0.1,14,0,2500,2500,0.0037899,1987,0.0037899,0.00475702,0,0,0,iter,0,1,k1,1,dynamic
81,64,0.1,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
81,64,0.1,15,0,32205,32205,0.049715,26065,0.049715,0.0595776,0,0,0,iter,0,1,k1,1,dynamic
81,64,0.1,15,1,28,28,1.33514e-05,7,1.33514e-05,5.34043e-05,1,7,8,iter,0,1,k1,1,dynamic
81,64,0.1,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,2,dynamic
81,64,0.1,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,2,dynamic
81,64,0.1,13,0,9,9,5.23869e-10,12,2.28882e-05,3.43317e-05,0,0,0,iter,0,1,optk,2,dynamic
81,64,0.1,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,2,dynamic
81,64,0.1,14,0,2500,2500,5.72512e-05,3967,0.00756645,0.00949141,0,0,0,iter,0,1,optk,2,dynamic
81,64,0.1,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,2,dynamic
81,64,0.1,15,0,32205,32205,0.0093776,50771,0.096838,0.115606,0,0,0,iter,0,1,optk,2,dynamic
81,64,0.1,15,1,10,10,3.63798e-10,10,1.90735e-05,3.81462e-05,1,5,6,iter,0,1,optk,2,dynamic
81,64,0.1,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,1,dynamic
81,64,0.1,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,1,dynamic
81,64,0.1,13,0,9,9,1.14441e-05,6,1.14441e-05,1.7166e-05,0,0,0,iter,0,1,rootk,1,dynamic
81,64,0.1,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,1,dynamic
81,64,0.1,14,0,2500,2500,0.00378609,1985,0.00378609,0.00475702,0,0,0,iter,0,1,rootk,1,dynamic
81,64,0.1,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,1,dynamic
81,64,0.1,15,0,32205,32205,0.049696,26055,0.049696,0.0595776,0,0,0,iter,0,1,rootk,1,dynamic
81,64,0.1,15,1,38,38,2.67029e-05,14,2.67029e-05,7.24766e-05,1,14,15,iter,0,1,rootk,1,dynamic
81,6,0.01,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
81,6,0.01,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
81,6,0.01,13,0,9,9,0.00012207,6,0.00012207,0.000183089,0,0,0,iter,0,1,k1,1,dynamic
81,6,0.01,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
81,6,0.01,14,0,2500,2500,0.0395101,1942,0.0395101,0.0495908,0,0,0,iter,0,1,k1,1,dynamic
81,6,0.01,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
81,6,0.01,15,0,32205,32205,0.421326,20709,0.421326,0.480668,0,0,0,iter,0,1,k1,1,dynamic
81,6,0.01,15,1,141,141,0.00124105,61,0.00124105,0.00286454,1,61,62,iter,0,1,k1,1,dynamic
81,6,0.01,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
81,6,0.01,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
81,6,0.01,13,0,9,9,0.00012207,6,0.00012207,0.000183089,0,0,0,iter,0,1,optk,1,dynamic
81,6,0.01,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
81,6,0.01,14,0,2500,2500,0.0396932,1951,0.0396932,0.0495908,0,0,0,iter,0,1,optk,1,dynamic
81,6,0.01,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
81,6,0.01,15,0,32205,32205,0.422343,20759,0.422343,0.480668,0,0,0,iter,0,1,optk,1,dynamic
81,6,0.01,15,1,228,228,0.00140381,69,0.00140381,0.00462793,1,69,70,iter,0,1,optk,1,dynamic
81,6,0.01,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,1,dynamic
81,6,0.01,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,1,dynamic
81,6,0.01,13,0,9,9,0.00012207,6,0.00012207,0.000183089,0,0,0,iter,0,1,rootk,1,dynamic
81,6,0.01,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,1,dynamic
81,6,0.01,14,0,2500,2500,0.0396322,1948,0.0396322,0.0495908,0,0,0,iter,0,1,rootk,1,dynamic
81,6,0.01,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,1,dynamic
81,6,0.01,15,0,32205,32205,0.420268,20657,0.420268,0.480668,0,0,0,iter,0,1,rootk,1,dynamic
81,6,0.01,15,1,194,194,0.00134277,66,0.00134277,0.00393916,1,66,67,iter,0,1,rootk,1,dynamic
81,1,0.001,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
81,1,0.001,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
81,1,0.001,13,0,9,9,0.000732422,6,0.000732422,0.00109803,0,0,0,iter,0,1,k1,1,dynamic
81,1,0.001,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
81,1,0.001,14,0,2500,2500,0.213501,1749,0.213501,0.263006,0,0,0,iter,0,1,k1,1,dynamic
81,1,0.001,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
81,1,0.001,15,0,32205,32205,0.960327,7867,0.960327,0.980381,0,0,0,iter,0,1,k1,1,dynamic
81,1,0.001,15,1,449,449,0.0184326,151,0.0184326,0.0533346,0,0,0,iter,0,1,k1,1,dynamic
81,1,0.001,15,0,312,312,0.0322266,264,0.0322266,0.0373698,650,1,651,type,0,2,k1,1,dynamic
81,1,0.001,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
81,1,0.001,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
81,1,0.001,13,0,9,9,0.000732422,6,0.000732422,0.00109803,0,0,0,iter,0,1,optk,1,dynamic
81,1,0.001,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
81,1,0.001,14,0,2500,2500,0.217896,1785,0.217896,0.263006,0,0,0,iter,0,1,optk,1,dynamic
81,1,0.001,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
81,1,0.001,15,0,32205,32205,0.962524,7885,0.962524,0.980381,0,0,0,iter,0,1,optk,1,dynamic
81,1,0.001,15,1,462,462,0.0194092,159,0.0194092,0.0548357,0,0,0,iter,0,1,optk,1,dynamic
81,1,0.001,15,0,287,287,0.0290527,238,0.0290527,0.0344276,628,1,629,type,0,2,optk,1,dynamic
81,1,0.001,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,1,dynamic
81,1,0.001,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,1,dynamic
81,1,0.001,13,0,9,9,0.000732422,6,0.000732422,0.00109803,0,0,0,iter,0,1,rootk,1,dynamic
81,1,0.001,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,1,dynamic
81,1,0.001,14,0,2500,2500,0.213867,1752,0.213867,0.263006,0,0,0,iter,0,1,rootk,1,dynamic
81,1,0.001,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,1,dynamic
