instance,size_kib,ratio,total_depth,iteration,n_inserted,n_unique,estimated_fp,bits_set,fill_ratio,expected_fill_ratio,materialized_forward,materialized_backward,materialized_total,phase,type_index,type_count,k_mode,k_hashes,split_mode
61,19533,0.5,10,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
61,19533,0.5,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
61,19533,0.5,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
61,19533,0.5,13,0,39,39,1.43737e-07,23,1.43737e-07,2.43728e-07,0,0,0,iter,0,1,k1,1,dynamic
61,19533,0.5,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
61,19533,0.5,14,0,3213,3213,1.13802e-05,1821,1.13802e-05,2.00792e-05,0,0,0,iter,0,1,k1,1,dynamic
61,19533,0.5,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
61,19533,0.5,15,0,122389,122389,0.000383566,61376,0.000383566,0.00076457,0,0,0,iter,0,1,k1,1,dynamic
61,19533,0.5,15,1,10,10,4.37461e-08,7,4.37461e-08,6.24944e-08,0,7,7,iter,0,1,k1,1,dynamic
61,19533,0.5,16,0,2148741,2148741,0.00634602,1015454,0.00634602,0.0133387,0,0,0,iter,0,1,k1,1,dynamic
61,19533,0.5,16,1,5619,5619,9.94911e-06,1592,9.94911e-06,3.5115e-05,1,1594,1595,iter,0,1,k1,1,dynamic
61,19533,0.5,10,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,22,dynamic
61,19533,0.5,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,22,dynamic
61,19533,0.5,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,22,dynamic
61,19533,0.5,13,0,39,39,9.99576e-122,506,3.16222e-06,5.36201e-06,0,0,0,iter,0,1,optk,22,dynamic
61,19533,0.5,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,22,dynamic
61,19533,0.5,14,0,3213,3213,5.86012e-80,40059,0.000250346,0.00044165,0,0,0,iter,0,1,optk,22,dynamic
61,19533,0.5,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,22,dynamic
61,19533,0.5,15,0,122389,122389,2.17736e-46,1344653,0.00840333,0.0166862,0,0,0,iter,0,1,optk,22,dynamic
61,19533,0.5,15,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,22,dynamic
61,19533,0.5,16,0,2148741,2148741,3.61304e-20,20913457,0.130697,0.255785,0,0,0,iter,0,1,optk,22,dynamic
61,19533,0.5,16,1,572,572,6.1648e-97,6776,4.23462e-05,7.86399e-05,1,308,309,iter,0,1,optk,22,dynamic
61,19533,0.5,10,0,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,5,dynamic
61,19533,0.5,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,5,dynamic
61,19533,0.5,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,5,dynamic
61,19533,0.5,13,0,39,39,1.91732e-31,115,7.18686e-07,1.21864e-06,0,0,0,iter,0,1,rootk,5,dynamic
61,19533,0.5,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,5,dynamic
61,19533,0.5,14,0,3213,3213,5.96493e-22,9105,5.69012e-05,0.000100392,0,0,0,iter,0,1,rootk,5,dynamic
61,19533,0.5,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,5,dynamic
61,19533,0.5,15,0,122389,122389,2.58501e-14,306656,0.00191643,0.00381701,0,0,0,iter,0,1,rootk,5,dynamic
61,19533,0.5,15,1,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,5,dynamic
61,19533,0.5,16,0,2148741,2148741,3.01887e-08,5013348,0.0313306,0.0649377,0,0,0,iter,0,1,rootk,5,dynamic
61,19533,0.5,16,1,572,572,8.25675e-26,1540,9.62414e-06,1.78732e-05,1,308,309,iter,0,1,rootk,5,dynamic
61,3907,0.1,10,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
61,3907,0.1,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
61,3907,0.1,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
61,3907,0.1,13,0,39,39,7.18612e-07,23,7.18612e-07,1.21852e-06,0,0,0,iter,0,1,k1,1,dynamic
61,3907,0.1,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
