instance,size_kib,ratio,total_depth,iteration,n_inserted,n_unique,estimated_fp,bits_set,fill_ratio,expected_fill_ratio,materialized_forward,materialized_backward,materialized_total,phase,type_index,type_count,k_mode,k_hashes,split_mode
82,16672,0.5,10,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
82,16672,0.5,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
82,16672,0.5,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
82,16672,0.5,13,0,6,6,1.46438e-08,2,1.46438e-08,4.39313e-08,0,0,0,iter,0,1,k1,1,dynamic
82,16672,0.5,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
82,16672,0.5,14,0,1201,1201,5.27175e-06,720,5.27175e-06,8.79353e-06,0,0,0,iter,0,1,k1,1,dynamic
82,16672,0.5,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
82,16672,0.5,15,0,79190,79190,0.000283386,38704,0.000283386,0.000579651,0,0,0,iter,0,1,k1,1,dynamic
82,16672,0.5,15,1,6,6,1.46438e-08,2,1.46438e-08,4.39313e-08,0,2,2,iter,0,1,k1,1,dynamic
82,16672,0.5,16,0,1793773,1793773,0.00595977,813967,0.00595977,0.0130479,0,0,0,iter,0,1,k1,1,dynamic
82,16672,0.5,16,1,3344,3344,6.57504e-06,898,6.57504e-06,2.44841e-05,1,898,899,iter,0,1,k1,1,dynamic
82,16672,0.5,10,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,23,dynamic
82,16672,0.5,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,23,dynamic
82,16672,0.5,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,23,dynamic
82,16672,0.5,13,0,6,6,1.34817e-149,46,3.36806e-07,1.01042e-06,0,0,0,iter,0,1,optk,23,dynamic
82,16672,0.5,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,23,dynamic
82,16672,0.5,14,0,1201,1201,8.40818e-91,16560,0.00012125,0.000202232,0,0,0,iter,0,1,optk,23,dynamic
82,16672,0.5,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,23,dynamic
82,16672,0.5,15,0,79190,79190,4.91227e-51,887242,0.00649628,0.0132473,0,0,0,iter,0,1,optk,23,dynamic
82,16672,0.5,15,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,23,dynamic
82,16672,0.5,16,0,1793773,1793773,3.16771e-21,17543074,0.128448,0.260719,0,0,0,iter,0,1,optk,23,dynamic
82,16672,0.5,16,1,4,4,1.13093e-142,92,6.73613e-07,6.73612e-07,1,4,5,iter,0,1,optk,23,dynamic
82,16672,0.5,10,0,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,5,dynamic
82,16672,0.5,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,5,dynamic
82,16672,0.5,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,5,dynamic
82,16672,0.5,13,0,6,6,2.10432e-36,10,7.32188e-08,2.19656e-07,0,0,0,iter,0,1,rootk,5,dynamic
82,16672,0.5,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,5,dynamic
82,16672,0.5,14,0,1201,1201,1.2724e-23,3600,2.63588e-05,4.39669e-05,0,0,0,iter,0,1,rootk,5,dynamic
82,16672,0.5,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,5,dynamic
82,16672,0.5,15,0,79190,79190,5.69178e-15,193387,0.00141596,0.0028949,0,0,0,iter,0,1,rootk,5,dynamic
82,16672,0.5,15,1,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,5,dynamic
82,16672,0.5,16,0,1793773,1793773,2.21357e-08,4021576,0.0294455,0.0635591,0,0,0,iter,0,1,rootk,5,dynamic
82,16672,0.5,16,1,10,10,2.055e-34,25,1.83047e-07,3.66094e-07,1,5,6,iter,0,1,rootk,5,dynamic
82,3334,0.1,10,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
82,3334,0.1,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
82,3334,0.1,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
82,3334,0.1,13,0,6,6,7.32275e-08,2,7.32275e-08,2.19683e-07,0,0,0,iter,0,1,k1,1,dynamic
