instance,size_kib,ratio,total_depth,iteration,n_inserted,n_unique,estimated_fp,bits_set,fill_ratio,expected_fill_ratio,materialized_forward,materialized_backward,materialized_total,phase,type_index,type_count,k_mode,k_hashes,split_mode
95,1830,0.5,10,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
95,1830,0.5,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
95,1830,0.5,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
95,1830,0.5,13,0,10,10,4.66936e-07,7,4.66936e-07,6.67051e-07,0,0,0,iter,0,1,k1,1,dynamic
95,1830,0.5,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
95,1830,0.5,14,0,1884,1884,7.73779e-05,1160,7.73779e-05,0.000125664,0,0,0,iter,0,1,k1,1,dynamic
95,1830,0.5,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
95,1830,0.5,15,0,97095,97095,0.0034121,51152,0.0034121,0.0064558,0,0,0,iter,0,1,k1,1,dynamic
95,1830,0.5,15,1,231,231,7.07074e-06,106,7.07074e-06,1.54088e-05,1,106,107,iter,0,1,k1,1,dynamic
95,1830,0.5,10,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,22,dynamic
95,1830,0.5,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,22,dynamic
95,1830,0.5,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,22,dynamic
95,1830,0.5,13,0,10,10,1.80698e-110,154,1.02726e-05,1.4675e-05,0,0,0,iter,0,1,optk,22,dynamic
95,1830,0.5,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,22,dynamic
95,1830,0.5,14,0,1884,1884,1.18955e-61,25500,0.00170098,0.00276097,0,0,0,iter,0,1,optk,22,dynamic
95,1830,0.5,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,22,dynamic
95,1830,0.5,15,0,97095,97095,8.33788e-26,1086148,0.0724516,0.132802,0,0,0,iter,0,1,optk,22,dynamic
95,1830,0.5,15,1,31,31,3.17887e-97,616,4.10903e-05,4.54918e-05,1,28,29,iter,0,1,optk,22,dynamic
95,1830,0.5,10,0,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,5,dynamic
95,1830,0.5,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,5,dynamic
95,1830,0.5,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,5,dynamic
95,1830,0.5,13,0,10,10,6.93641e-29,35,2.33468e-06,3.33525e-06,0,0,0,iter,0,1,rootk,5,dynamic
95,1830,0.5,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,rootk,5,dynamic
